,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
0,Cows' milk,976,660.0,32.0,40.0,36.0,0.0,48.0,Dairy products,0.6762295081967213,0.8
2,Butter milk,246,127.0,9.0,5.0,4.0,0.0,13.0,Dairy products,0.516260162601626,1.8
3,"Evaporated, undiluted",252,345.0,16.0,20.0,18.0,0.0,24.0,Dairy products,1.369047619047619,0.8
4,Fortified milk,1419,1373.0,89.0,42.0,23.0,1.4,119.0,Dairy products,0.9675828047921071,2.119047619047619
5,Powdered milk,103,515.0,27.0,28.0,24.0,0.0,39.0,Dairy products,5.0,0.9642857142857143
8,Goats' milk,244,165.0,8.0,10.0,8.0,0.0,11.0,Dairy products,0.6762295081967213,0.8
9,(1/2 cup ice cream),540,690.0,24.0,24.0,22.0,0.0,70.0,Dairy products,1.2777777777777777,1.0
10,Cocoa,252,235.0,8.0,11.0,10.0,0.0,26.0,Dairy products,0.9325396825396826,0.7272727272727273
11,skim. milk,250,128.0,18.0,4.0,3.0,1.0,13.0,Dairy products,0.512,4.5
12,(cornstarch),248,275.0,9.0,10.0,9.0,0.0,40.0,Dairy products,1.1088709677419355,0.9
13,Custard,248,285.0,13.0,14.0,11.0,0.0,28.0,Dairy products,1.1491935483870968,0.9285714285714286
14,Ice cream,188,300.0,6.0,18.0,16.0,0.0,29.0,Dairy products,1.5957446808510638,0.3333333333333333
15,Ice milk,190,275.0,9.0,10.0,9.0,0.0,32.0,Dairy products,1.4473684210526316,0.9
16,Cream or half-and-half,120,170.0,4.0,15.0,13.0,0.0,5.0,Dairy products,1.4166666666666667,0.26666666666666666
17,or whipping,119,430.0,2.0,44.0,27.0,1.0,3.0,Dairy products,3.6134453781512605,0.045454545454545456
18,Cheese,225,240.0,30.0,11.0,10.0,0.0,6.0,Dairy products,1.0666666666666667,2.727272727272727
21,"Cheddar, grated cup",56,226.0,14.0,19.0,17.0,0.0,1.0,Dairy products,4.035714285714286,0.7368421052631579
22,Cream cheese,28,105.0,2.0,11.0,10.0,0.0,1.0,Dairy products,3.75,0.18181818181818182
27,Eggs Scrambled or fried,128,220.0,13.0,16.0,14.0,0.0,1.0,Dairy products,1.71875,0.8125
30,Butter,112,113.0,114.0,115.0,116.0,117.0,118.0,"Fats, Oils, Shortenings",1.0089285714285714,0.991304347826087
31,Butter,112,113.0,114.0,115.0,116.0,117.0,118.0,"Fats, Oils, Shortenings",1.0089285714285714,0.991304347826087
32,Hydrogenated cooking fat,100,665.0,0.0,100.0,88.0,0.0,0.0,"Fats, Oils, Shortenings",6.65,0.0
33,Lard,110,992.0,0.0,110.0,92.0,0.0,0.0,"Fats, Oils, Shortenings",9.018181818181818,0.0
37,Corn oil,14,125.0,0.0,14.0,5.0,0.0,0.0,"Fats, Oils, Shortenings",8.928571428571429,0.0
38,Olive oil,14,125.0,0.0,14.0,3.0,0.0,0.0,"Fats, Oils, Shortenings",8.928571428571429,0.0
39,Safflower seed oil,14,125.0,0.0,14.0,3.0,0.0,0.0,"Fats, Oils, Shortenings",8.928571428571429,0.0
42,Salt pork,60,470.0,3.0,55.0,0.0,0.0,0.0,"Meat, Poultry",7.833333333333333,0.05454545454545454
43,Bacon,16,95.0,4.0,8.0,7.0,0.0,1.0,"Meat, Poultry",5.9375,0.5
44,Beef,85,245.0,23.0,16.0,15.0,0.0,0.0,"Meat, Poultry",2.8823529411764706,1.4375
45,Hamburger,85,245.0,21.0,17.0,15.0,0.0,0.0,"Meat, Poultry",2.8823529411764706,1.2352941176470589
46,Ground lean,85,185.0,24.0,10.0,9.0,0.0,0.0,"Meat, Poultry",2.176470588235294,2.4
47,Roast beef,85,390.0,16.0,36.0,35.0,0.0,0.0,"Meat, Poultry",4.588235294117647,0.4444444444444444
48,Steak,85,330.0,20.0,27.0,25.0,0.0,0.0,"Meat, Poultry",3.8823529411764706,0.7407407407407407
49,"Steak, lean, as round",85,220.0,24.0,12.0,11.0,0.0,0.0,"Meat, Poultry",2.588235294117647,2.0
50,Corned beef,85,185.0,22.0,10.0,9.0,0.0,0.0,"Meat, Poultry",2.176470588235294,2.2
52,Corned beef hash Dried,56,115.0,19.0,4.0,4.0,0.0,0.0,"Meat, Poultry",2.0535714285714284,4.75
55,chicken,85,185.0,23.0,9.0,7.0,0.0,0.0,"Meat, Poultry",2.176470588235294,2.5555555555555554
56,"Fried, breast or leg and thigh chicken",85,245.0,25.0,15.0,11.0,0.0,0.0,"Meat, Poultry",2.8823529411764706,1.6666666666666667
57,Roasted chicken,100,290.0,25.0,20.0,16.0,0.0,0.0,"Meat, Poultry",2.9,1.25
58,"Chicken livers, fried",100,140.0,22.0,14.0,12.0,0.0,2.3,"Meat, Poultry",1.4,1.5714285714285714
59,"Duck, domestic",100,370.0,16.0,28.0,0.0,0.0,0.0,"Meat, Poultry",3.7,0.5714285714285714
60,"Lamb, chop, broiled",115,480.0,24.0,35.0,33.0,0.0,0.0,"Meat, Poultry",4.173913043478261,0.6857142857142857
61,Leg roasted,86,314.0,20.0,14.0,14.0,0.0,0.0,"Meat, Poultry",3.6511627906976742,1.4285714285714286
62,"Shoulder, braised",85,285.0,18.0,23.0,21.0,0.0,0.0,"Meat, Poultry",3.3529411764705883,0.782608695652174
63,"Pork, chop, 1 thick",100,260.0,16.0,21.0,18.0,0.0,0.0,"Meat, Poultry",2.6,0.7619047619047619
64,Ham pan-broiled,85,290.0,16.0,22.0,19.0,0.0,0.0,"Meat, Poultry",3.411764705882353,0.7272727272727273
65,"Ham, as ",57,170.0,13.0,13.0,11.0,0.0,0.0,"Meat, Poultry",2.982456140350877,1.0
66,"Ham, canned, spiced",57,165.0,8.0,14.0,12.0,0.0,1.0,"Meat, Poultry",2.8947368421052633,0.5714285714285714
67,Pork roast,85,310.0,21.0,24.0,21.0,0.0,0.0,"Meat, Poultry",3.6470588235294117,0.875
68,Pork sausage,100,475.0,18.0,44.0,40.0,0.0,0.0,"Meat, Poultry",4.75,0.4090909090909091
69,Turkey,100,265.0,27.0,15.0,0.0,0.0,0.0,"Meat, Poultry",2.65,1.8
70,Veal,85,185.0,23.0,9.0,8.0,0.0,0.0,"Meat, Poultry",2.176470588235294,2.5555555555555554
71,Roast,85,305.0,13.0,14.0,13.0,0.0,0.0,"Meat, Poultry",3.588235294117647,0.9285714285714286
72,Clams,85,87.0,12.0,1.0,0.0,0.0,2.0,"Fish, Seafood",1.0235294117647058,12.0
73,Cod,100,170.0,28.0,5.0,0.0,0.0,0.0,"Fish, Seafood",1.7,5.6
74,Crab meat,85,90.0,14.0,2.0,0.0,0.0,1.0,"Fish, Seafood",1.0588235294117647,7.0
75,Fish sticks fried,112,200.0,19.0,10.0,5.0,0.0,8.0,"Fish, Seafood",1.7857142857142858,1.9
76,Flounder,100,200.0,30.0,8.0,0.0,0.0,0.0,"Fish, Seafood",2.0,3.75
77,Haddock,85,135.0,16.0,5.0,4.0,0.0,6.0,"Fish, Seafood",1.588235294117647,3.2
78,Halibut,100,182.0,26.0,8.0,0.0,0.0,0.0,"Fish, Seafood",1.82,3.25
79,Herring,100,211.0,22.0,13.0,0.0,0.0,0.0,"Fish, Seafood",2.11,1.6923076923076923
82,Oysters,230,231.0,232.0,233.0,234.0,235.0,236.0,"Fish, Seafood",1.0043478260869565,0.9957081545064378
83,Oyster stew,85,125.0,19.0,6.0,1.0,0.0,0.0,"Fish, Seafood",1.4705882352941178,3.1666666666666665
84,Salmon,85,120.0,17.0,5.0,1.0,0.0,0.0,"Fish, Seafood",1.411764705882353,3.4
85,Sardines,85,180.0,22.0,9.0,4.0,0.0,0.0,"Fish, Seafood",2.1176470588235294,2.4444444444444446
86,Scallops,100,104.0,18.0,8.0,0.0,0.0,10.0,"Fish, Seafood",1.04,2.25
87,Shad,85,170.0,20.0,10.0,0.0,0.0,0.0,"Fish, Seafood",2.0,2.0
88,Shrimp,85,110.0,23.0,1.0,0.0,0.0,0.0,"Fish, Seafood",1.2941176470588236,23.0
89,Swordfish,100,180.0,27.0,6.0,0.0,0.0,0.0,"Fish, Seafood",1.8,4.5
90,Tuna,85,170.0,25.0,7.0,3.0,0.0,0.0,"Fish, Seafood",2.0,3.5714285714285716
96,"Navy, baked with pork",200,250.0,11.0,6.0,6.0,2.0,37.0,Vegetables A-E,1.25,1.8333333333333333
97,Red kidney,260,230.0,15.0,1.0,0.0,2.5,42.0,Vegetables A-E,0.8846153846153846,15.0
116,Dandelion greens,180,80.0,5.0,1.0,0.0,3.2,16.0,Vegetables A-E,0.4444444444444444,5.0
119,Kale,110,45.0,4.0,1.0,0.0,0.9,8.0,Vegetables F-P,0.4090909090909091,4.0
131,Parsnips,155,95.0,2.0,1.0,0.0,3.0,22.0,Vegetables F-P,0.6129032258064516,2.0
139,Peppers with beef and crumbs,150,255.0,19.0,9.0,8.0,1.0,24.0,Vegetables R-Z,1.7,2.111111111111111
141,French-fried,60,155.0,-1.0,7.0,3.0,0.4,20.0,Vegetables R-Z,2.5833333333333335,-0.14285714285714285
142,Potatoes Mashed with milk and butter,200,230.0,4.0,12.0,11.0,0.7,28.0,Vegetables R-Z,1.15,0.3333333333333333
143,"Potatoes, pan-tried",100,268.0,4.0,14.0,6.0,0.4,33.0,Vegetables R-Z,2.68,0.2857142857142857
144,Scalloped with cheese potatoes,100,145.0,6.0,8.0,7.0,0.4,14.0,Vegetables R-Z,1.45,0.75
149,Soybeans,200,260.0,22.0,11.0,0.0,3.2,20.0,Vegetables R-Z,1.3,2.0
153,Sweet potatoes,110,155.0,2.0,1.0,0.0,1.0,36.0,Vegetables R-Z,1.4090909090909092,2.0
154,Candied,175,235.0,2.0,6.0,5.0,1.5,80.0,Vegetables R-Z,1.3428571428571427,0.3333333333333333
159,Turnip greens,145,45.0,4.0,1.0,0.0,1.8,8.0,Vegetables R-Z,0.3103448275862069,4.0
170,Avocado,108,185.0,2.0,18.0,12.0,1.8,6.0,Fruits A-F,1.712962962962963,0.1111111111111111
172,Blackberries,144,85.0,2.0,1.0,0.0,6.6,19.0,Fruits A-F,0.5902777777777778,2.0
175,Cherries,257,100.0,2.0,1.0,0.0,2.0,26.0,Fruits A-F,0.38910505836575876,2.0
192,Olives large,65,72.0,1.0,10.0,9.0,0.8,3.0,Fruits G-P,1.1076923076923078,0.1
193,OlivesRipe,65,105.0,1.0,13.0,12.0,1.0,1.0,Fruits G-P,1.6153846153846154,0.07692307692307693
201,"Raw, 3 by 2V",182,100.0,1.0,1.0,0.0,2.0,25.0,Fruits G-P,0.5494505494505495,1.0
209,Prunes,270,300.0,3.0,1.0,0.0,0.8,81.0,Fruits G-P,1.1111111111111112,3.0
218,Watermelon,925,120.0,2.0,1.0,0.0,3.6,29.0,Fruits R-Z,0.12972972972972974,2.0
221,"Bread, cracked wheat",23,60.0,2.0,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains",2.608695652173913,2.0
222,Rye,23,55.0,2.0,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains",2.391304347826087,2.0
223,"White, 20 slices, or",454,1225.0,39.0,15.0,12.0,9.0,229.0,"Breads, cereals, fastfood,grains",2.698237885462555,2.6
224,Whole-wheat,454,1100.0,48.0,14.0,10.0,67.5,216.0,"Breads, cereals, fastfood,grains",2.4229074889867843,3.4285714285714284
225,Whole-wheat,23,55.0,2.0,1.0,0.0,0.31,11.0,"Breads, cereals, fastfood,grains",2.391304347826087,2.0
226,Corn bread ground meal,50,100.0,3.0,4.0,2.0,0.3,15.0,"Breads, cereals, fastfood,grains",2.0,0.75
229,Corn meal,118,360.0,9.0,4.0,2.0,1.6,74.0,"Breads, cereals, fastfood,grains",3.0508474576271185,2.25
233,Flour,110,460.0,39.0,22.0,0.0,2.9,33.0,"Breads, cereals, fastfood,grains",4.181818181818182,1.7727272727272727
234,Wheat (all purpose),110,400.0,12.0,1.0,0.0,0.3,84.0,"Breads, cereals, fastfood,grains",3.6363636363636362,12.0
235,Wheat (whole),120,390.0,13.0,2.0,0.0,2.8,79.0,"Breads, cereals, fastfood,grains",3.25,6.5
236,Macaroni,140,155.0,5.0,1.0,0.0,0.1,32.0,"Breads, cereals, fastfood,grains",1.1071428571428572,5.0
239,Noodles,160,200.0,7.0,2.0,2.0,0.1,37.0,"Breads, cereals, fastfood,grains",1.25,3.5
240,Oatmeal,236,150.0,5.0,3.0,2.0,4.6,26.0,"Breads, cereals, fastfood,grains",0.635593220338983,1.6666666666666667
241,"Pancakes 4"" diam.",108,250.0,7.0,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains",2.314814814814815,0.7777777777777778
242,"Wheat, pancakes 4"" diam.",108,250.0,7.0,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains",2.314814814814815,0.7777777777777778
